,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,Positive_control_MDA,Negative_control1,Negative_control2,Negative_control3,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
vOTU_72,0,0,0,0,0,0,4,0,0,0,5,0,7,0,0,1,0,0,178,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_73,0,0,0,1,0,0,1,0,0,0,337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vOTU_84,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,24,28,32,37,97,41,37,11,52,19107,651,0,0,0,3,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0
vOTU_91,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,1,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
vOTU_96,0,0,0,1,0,0,1,0,1,0,131,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_98,0,0,0,0,3,6,0,0,5,1,18,0,15,3,7,6,1,3,2131,16,0,0,0,0,0,0,2,5,0,0,0,2,22,2,1,0,0,0,1,7,6,0,0,0,2,0,3,8,12,0,13,3,8,3,9,9,4,6,2942,11,1,9,0,22,0,3,0,0,8,0,0,7,11,7,1,0,1,0,0,0,0,0,4,8
vOTU_115,0,0,0,0,2,464,0,1,41,1,2,0,10,0,0,2,0,0,107,8,0,0,0,0,0,0,0,2,0,0,0,0,11,0,4,0,0,0,1,15,0,0,0,0,4,6,1,2,55,0,1,0,4,0,2,11,1,0,172,4,0,0,0,0,0,0,0,0,6,0,0,0,2,20,2,0,0,0,0,0,0,0,0,1
vOTU_116,0,0,0,0,0,0,2,0,235,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,3,1,519,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_121,0,0,0,0,0,0,1,0,2,1,188,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,8,0,17,47,0,0,0,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
vOTU_130,4,0,0,1,0,1,4,2,8,1,677,9,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,20,1,34,6,0,0,0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
